well,timepoint,od,concentration_level,concentration
d,31,0.064,medium,3
e,31,0.041,medium,30
f,31,0.036,high,100
g,31,0.032,high,300
a,32,0.095,low,0.01
b,32,0.089,low,0.03
c,32,0.08,medium,1
d,32,0.068,medium,3
e,32,0.042,medium,30
f,32,0.037,high,100
g,32,0.033,high,300
a,33,0.099,low,0.01
b,33,0.093,low,0.03
c,33,0.083,medium,1
d,33,0.07,medium,3
e,33,0.042,medium,30
f,33,0.037,high,100
g,33,0.033,high,300
a,34,0.106,low,0.01
b,34,0.099,low,0.03
c,34,0.089,medium,1
d,34,0.073,medium,3
e,34,0.044,medium,30
f,34,0.038,high,100
g,34,0.034,high,300
a,35,0.114,low,0.01
b,35,0.106,low,0.03
c,35,0.094,medium,1
d,35,0.078,medium,3
e,35,0.046,medium,30
f,35,0.039,high,100
g,35,0.034,high,300
a,36,0.118,low,0.01
b,36,0.11,low,0.03
c,36,0.097,medium,1
d,36,0.078,medium,3
e,36,0.044,medium,30
f,36,0.037,high,100
g,36,0.033,high,300
a,37,0.124,low,0.01
b,37,0.115,low,0.03
c,37,0.1,medium,1
d,37,0.079,medium,3
e,37,0.045,medium,30
f,37,0.037,high,100
g,37,0.032,high,300
a,38,0.134,low,0.01
b,38,0.123,low,0.03
c,38,0.105,medium,1
d,38,0.084,medium,3
e,38,0.046,medium,30
f,38,0.038,high,100
g,38,0.033,high,300
a,39,0.141,low,0.01
b,39,0.129,low,0.03
c,39,0.11,medium,1
d,39,0.086,medium,3
e,39,0.046,medium,30
f,39,0.038,high,100
g,39,0.033,high,300
a,40,0.151,low,0.01
b,40,0.138,low,0.03
c,40,0.115,medium,1
d,40,0.09,medium,3
e,40,0.048,medium,30
f,40,0.037,high,100
g,40,0.032,high,300
a,41,0.16,low,0.01
b,41,0.145,low,0.03
c,41,0.121,medium,1
d,41,0.093,medium,3
e,41,0.049,medium,30
f,41,0.037,high,100
g,41,0.033,high,300
a,42,0.169,low,0.01
b,42,0.153,low,0.03
c,42,0.128,medium,1
d,42,0.097,medium,3
e,42,0.049,medium,30
f,42,0.037,high,100
g,42,0.032,high,300
a,43,0.177,low,0.01
b,43,0.16,low,0.03
c,43,0.132,medium,1
d,43,0.099,medium,3
e,43,0.049,medium,30
f,43,0.037,high,100
g,43,0.032,high,300
a,44,0.19,low,0.01
b,44,0.171,low,0.03
c,44,0.142,medium,1
d,44,0.104,medium,3
e,44,0.051,medium,30
f,44,0.038,high,100
g,44,0.033,high,300
a,45,0.201,low,0.01
b,45,0.18,low,0.03
c,45,0.146,medium,1
d,45,0.107,medium,3
e,45,0.051,medium,30
f,45,0.037,high,100
g,45,0.032,high,300
a,46,0.208,low,0.01
b,46,0.187,low,0.03
c,46,0.153,medium,1
d,46,0.112,medium,3
e,46,0.052,medium,30
f,46,0.037,high,100
g,46,0.032,high,300
a,47,0.217,low,0.01
b,47,0.197,low,0.03
c,47,0.16,medium,1
d,47,0.114,medium,3
e,47,0.052,medium,30
f,47,0.037,high,100
g,47,0.032,high,300
a,48,0.227,low,0.01
b,48,0.205,low,0.03
c,48,0.169,medium,1
d,48,0.12,medium,3
e,48,0.053,medium,30
f,48,0.037,high,100
g,48,0.031,high,300
a,49,0.229,low,0.01
b,49,0.213,low,0.03
c,49,0.176,medium,1
d,49,0.125,medium,3
e,49,0.053,medium,30
f,49,0.037,high,100
g,49,0.032,high,300
a,50,0.232,low,0.01
b,50,0.219,low,0.03
c,50,0.184,medium,1
d,50,0.128,medium,3
e,50,0.053,medium,30
f,50,0.037,high,100
g,50,0.032,high,300
a,51,0.233,low,0.01
b,51,0.224,low,0.03
c,51,0.193,medium,1
d,51,0.133,medium,3
e,51,0.054,medium,30
f,51,0.036,high,100
g,51,0.031,high,300
a,52,0.237,low,0.01
b,52,0.229,low,0.03
c,52,0.2,medium,1
d,52,0.139,medium,3
e,52,0.055,medium,30
f,52,0.036,high,100
g,52,0.032,high,300
a,53,0.236,low,0.01
b,53,0.23,low,0.03
c,53,0.207,medium,1
d,53,0.144,medium,3
e,53,0.055,medium,30
f,53,0.036,high,100
g,53,0.032,high,300
a,54,0.235,low,0.01
b,54,0.231,low,0.03
c,54,0.213,medium,1
d,54,0.147,medium,3
e,54,0.056,medium,30
f,54,0.036,high,100
g,54,0.031,high,300
a,55,0.237,low,0.01
b,55,0.23,low,0.03
c,55,0.218,medium,1
d,55,0.156,medium,3
e,55,0.058,medium,30
f,55,0.036,high,100
g,55,0.032,high,300
a,56,0.232,low,0.01
b,56,0.231,low,0.03
c,56,0.226,medium,1
d,56,0.162,medium,3
e,56,0.055,medium,30
f,56,0.036,high,100
g,56,0.031,high,300
a,57,0.234,low,0.01
b,57,0.233,low,0.03
c,57,0.23,medium,1
d,57,0.17,medium,3
e,57,0.059,medium,30
f,57,0.036,high,100
g,57,0.032,high,300
a,58,0.232,low,0.01
b,58,0.228,low,0.03
c,58,0.231,medium,1
d,58,0.176,medium,3
e,58,0.059,medium,30
f,58,0.035,high,100
g,58,0.032,high,300
a,59,0.23,low,0.01
b,59,0.228,low,0.03
c,59,0.23,medium,1
d,59,0.182,medium,3
e,59,0.06,medium,30
f,59,0.037,high,100
g,59,0.032,high,300
a,60,0.228,low,0.01
b,60,0.225,low,0.03
c,60,0.231,medium,1
d,60,0.19,medium,3
e,60,0.062,medium,30
f,60,0.037,high,100
g,60,0.031,high,300
a,61,0.227,low,0.01
b,61,0.225,low,0.03
c,61,0.23,medium,1
d,61,0.196,medium,3
e,61,0.063,medium,30
f,61,0.035,high,100
g,61,0.032,high,300
a,62,0.226,low,0.01
b,62,0.222,low,0.03
c,62,0.23,medium,1
d,62,0.205,medium,3
e,62,0.062,medium,30
f,62,0.035,high,100
g,62,0.031,high,300
a,63,0.229,low,0.01
b,63,0.225,low,0.03
c,63,0.23,medium,1
d,63,0.212,medium,3
e,63,0.063,medium,30
f,63,0.034,high,100
g,63,0.031,high,300
a,64,0.224,low,0.01
b,64,0.221,low,0.03
c,64,0.231,medium,1
d,64,0.217,medium,3
e,64,0.063,medium,30
f,64,0.035,high,100
g,64,0.03,high,300
a,65,0.224,low,0.01
b,65,0.22,low,0.03
c,65,0.228,medium,1
d,65,0.221,medium,3
e,65,0.065,medium,30
f,65,0.035,high,100
g,65,0.031,high,300
